timestamp,player,rarity,fish,size_cm
2026-06-08 00:00:05,Sam_Kawai,COMMUN,Maquereau,30.9
2026-06-08 00:00:19,Sam_Kawai,COMMUN,Carpe dorée,23.4
2026-06-08 00:01:15,Sam_Kawai,COMMUN,Morue,52.1
2026-06-08 00:02:01,Sam_Kawai,COMMUN,Carpe Noire,47.5
2026-06-08 00:02:07,Sam_Kawai,COMMUN,Esturgeon,10.4
2026-06-08 00:02:22,Sam_Kawai,COMMUN,Saumon,24.1
2026-06-08 00:02:34,Sam_Kawai,COMMUN,Morue,15.0
2026-06-08 06:46:34,Sam_Kawai,MYTHIQUE,Kappa,8468.6
2026-06-08 06:46:54,Sam_Kawai,COMMUN,Poisson globe,28.5
2026-06-08 06:47:08,Sam_Kawai,COMMUN,Haddock,10.5
2026-06-08 06:47:21,Sam_Kawai,COMMUN,Poisson globe,53.3
2026-06-08 06:47:35,Sam_Kawai,PERDU,Bannière déchirée,177.1
2026-06-08 06:47:59,Sam_Kawai,COMMUN,Saumon,6.8
2026-06-08 06:48:11,Sam_Kawai,COMMUN,Haddock,15.0
2026-06-08 06:48:17,Sam_Kawai,RARE,Poisson clown,227.8
2026-06-08 06:48:28,Sam_Kawai,RARE,Goujon Eidragon,303.4
2026-06-08 06:48:33,Sam_Kawai,COMMUN,Nautile,35.6
2026-06-08 06:48:49,Sam_Kawai,COMMUN,Cabillaud,5.2
2026-06-08 06:49:05,Sam_Kawai,COMMUN,Truite argentée,33.4
2026-06-08 06:49:11,Sam_Kawai,COMMUN,Esturgeon,48.9
2026-06-08 06:49:16,Sam_Kawai,COMMUN,Thon,6.6
2026-06-08 06:49:32,Sam_Kawai,COMMUN,Haddock,40.1
2026-06-08 06:49:48,Sam_Kawai,COMMUN,Poisson bleu,53.5
2026-06-08 06:50:17,Sam_Kawai,COMMUN,Carpe Noire,61.0
2026-06-08 06:50:38,Sam_Kawai,COMMUN,Carpe dorée,22.9
2026-06-08 06:51:08,Sam_Kawai,RARE,Truite arc-en-ciel,568.6
2026-06-08 06:51:22,Sam_Kawai,COMMUN,Carpe Noire,38.3
2026-06-08 06:51:40,Sam_Kawai,COMMUN,Lotte,55.9
2026-06-08 06:52:02,Sam_Kawai,RARE,Corail,358.5
2026-06-08 06:52:13,Sam_Kawai,COMMUN,Trigorneau,47.6
2026-06-08 06:52:32,Sam_Kawai,COMMUN,Anchois,15.6
2026-06-08 06:52:47,Sam_Kawai,COMMUN,Bigorneau,29.6
2026-06-08 06:52:55,Sam_Kawai,COMMUN,Carpe herbivore,46.0
2026-06-08 06:53:07,Sam_Kawai,COMMUN,Requin citron,23.6
2026-06-08 06:53:38,Sam_Kawai,COMMUN,Haddock,13.7
2026-06-08 06:53:47,Sam_Kawai,COMMUN,Trigorneau,64.9
2026-06-08 06:54:03,Sam_Kawai,PERDU,Gros pavé,149.5
2026-06-08 06:54:15,Sam_Kawai,COMMUN,Morue,3.5
2026-06-08 06:54:29,Sam_Kawai,COMMUN,Morue,61.1
2026-06-08 06:54:38,Sam_Kawai,COMMUN,Carpe,60.8
2026-06-08 06:54:57,Sam_Kawai,COMMUN,Plume de mouette,43.5
2026-06-08 06:55:01,Sam_Kawai,ÉPIQUE,Poisson algues,554.1
2026-06-08 06:55:11,Sam_Kawai,COMMUN,Poisson globe,63.0
2026-06-08 06:55:17,Sam_Kawai,COMMUN,Carpe herbivore,54.3
2026-06-08 06:55:28,Sam_Kawai,COMMUN,Morue,23.8
2026-06-08 06:55:42,Sam_Kawai,COMMUN,Carpe Koi,28.9
2026-06-08 06:55:55,Sam_Kawai,PERDU,Hot Wheels,126.0
2026-06-08 06:56:07,Sam_Kawai,COMMUN,Mullet rouge,10.8
2026-06-08 06:56:15,Sam_Kawai,COMMUN,Morue,50.2
2026-06-08 06:56:30,Sam_Kawai,COMMUN,Plume de mouette,16.6
2026-06-08 06:56:40,Sam_Kawai,PERDU,Fer à Cheval,114.9
2026-06-08 06:56:50,Sam_Kawai,COMMUN,Trigorneau,33.8
2026-06-08 06:56:55,Sam_Kawai,COMMUN,Anchois,19.2
2026-06-08 06:57:08,Sam_Kawai,COMMUN,Anchois,4.6
2026-06-08 06:57:25,Sam_Kawai,COMMUN,Anchois,2.7
2026-06-08 06:57:58,Sam_Kawai,RARE,Michel l'hermite,409.7
2026-06-08 06:58:13,Sam_Kawai,COMMUN,Maquereau,46.7
2026-06-08 06:58:18,Sam_Kawai,COMMUN,Anchois,61.5
2026-06-08 06:58:25,Sam_Kawai,COMMUN,Esturgeon,6.3
2026-06-08 06:58:43,Sam_Kawai,COMMUN,Cabillaud,28.6
2026-06-08 06:59:04,Sam_Kawai,COMMUN,Plume de mouette,35.4
